17/05/24-19:57:50 | Phase 1 | BEGIN | Parameter initialization
17/05/24-19:58:14 | Phase 2 | < 3 , 1 , 1 , 15 > NI_PLUS   | 167
17/05/24-19:58:14 | Phase 2 | < 3 , 1 , 1 , 15 > NI_MINUS   | 97
17/05/24-19:58:14 | Phase 2 | < 3 , 1 , 1 , 15 > h_plus   | 0.440971313131309
17/05/24-19:58:14 | Phase 2 | < 3 , 1 , 1 , 15 > fraction   | 1.72164948453608
17/05/24-19:58:14 | Phase 2 | < 3 , 1 , 1 , 15 > h_minus   | 0.759198033947717
17/05/24-19:58:15 | Phase 2 | < 3 , 1 , 1 , 15 > ACC[var,h]  | 0.5
17/05/24-19:58:15 | Phase 2 | < 3 , 1 , 1 , 15 > Zeros   | 40.0041406641044
17/05/24-19:58:15 | Phase 2 | < 3 , 1 , 1 , 15 > Num zeros  | 1
17/05/24-19:58:15 | Phase 2 | < 3 , 1 , 1 , 16 > NI_PLUS   | 167
17/05/24-19:58:15 | Phase 2 | < 3 , 1 , 1 , 16 > NI_MINUS   | 97
17/05/24-19:58:15 | Phase 2 | < 3 , 1 , 1 , 16 > h_plus   | 0.467548121212117
17/05/24-19:58:15 | Phase 2 | < 3 , 1 , 1 , 16 > fraction   | 1.72164948453608
17/05/24-19:58:15 | Phase 2 | < 3 , 1 , 1 , 16 > h_minus   | 0.804953981880655
17/05/24-19:58:17 | Phase 2 | < 3 , 1 , 1 , 16 > ACC[var,h]  | 0.5
17/05/24-19:58:17 | Phase 2 | < 3 , 1 , 1 , 16 > Zeros   | 40.0155911158758
17/05/24-19:58:17 | Phase 2 | < 3 , 1 , 1 , 16 > Num zeros  | 1
17/05/24-19:58:17 | Phase 2 | < 3 , 1 , 1 , 17 > NI_PLUS   | 167
17/05/24-19:58:17 | Phase 2 | < 3 , 1 , 1 , 17 > NI_MINUS   | 97
17/05/24-19:58:17 | Phase 2 | < 3 , 1 , 1 , 17 > h_plus   | 0.494124929292925
17/05/24-19:58:17 | Phase 2 | < 3 , 1 , 1 , 17 > fraction   | 1.72164948453608
17/05/24-19:58:17 | Phase 2 | < 3 , 1 , 1 , 17 > h_minus   | 0.850709929813593
17/05/24-19:58:19 | Phase 2 | < 3 , 1 , 1 , 17 > ACC[var,h]  | 0.5
17/05/24-19:58:19 | Phase 2 | < 3 , 1 , 1 , 17 > Zeros   | 40.0330273745791
17/05/24-19:58:19 | Phase 2 | < 3 , 1 , 1 , 17 > Num zeros  | 1
17/05/24-19:58:19 | Phase 2 | < 3 , 1 , 1 , 18 > NI_PLUS   | 167
17/05/24-19:58:19 | Phase 2 | < 3 , 1 , 1 , 18 > NI_MINUS   | 97
17/05/24-19:58:19 | Phase 2 | < 3 , 1 , 1 , 18 > h_plus   | 0.520701737373733
17/05/24-19:58:19 | Phase 2 | < 3 , 1 , 1 , 18 > fraction   | 1.72164948453608
17/05/24-19:58:19 | Phase 2 | < 3 , 1 , 1 , 18 > h_minus   | 0.896465877746531
17/05/24-19:58:21 | Phase 2 | < 3 , 1 , 1 , 18 > ACC[var,h]  | 0.5
17/05/24-19:58:21 | Phase 2 | < 3 , 1 , 1 , 18 > Zeros   | 40.0544212692799
17/05/24-19:58:21 | Phase 2 | < 3 , 1 , 1 , 18 > Num zeros  | 1
17/05/24-19:58:21 | Phase 2 | < 3 , 1 , 1 , 19 > NI_PLUS   | 167
17/05/24-19:58:21 | Phase 2 | < 3 , 1 , 1 , 19 > NI_MINUS   | 97
17/05/24-19:58:21 | Phase 2 | < 3 , 1 , 1 , 19 > h_plus   | 0.547278545454541
17/05/24-19:58:21 | Phase 2 | < 3 , 1 , 1 , 19 > fraction   | 1.72164948453608
17/05/24-19:58:21 | Phase 2 | < 3 , 1 , 1 , 19 > h_minus   | 0.942221825679468
17/05/24-19:58:22 | Phase 2 | < 3 , 1 , 1 , 19 > ACC[var,h]  | 0.5
17/05/24-19:58:22 | Phase 2 | < 3 , 1 , 1 , 19 > Zeros   | 40.0777534539365
17/05/24-19:58:22 | Phase 2 | < 3 , 1 , 1 , 19 > Num zeros  | 1
17/05/24-19:58:22 | Phase 2 | < 3 , 1 , 1 , 20 > NI_PLUS   | 167
17/05/24-19:58:22 | Phase 2 | < 3 , 1 , 1 , 20 > NI_MINUS   | 97
17/05/24-19:58:22 | Phase 2 | < 3 , 1 , 1 , 20 > h_plus   | 0.573855353535349
17/05/24-19:58:22 | Phase 2 | < 3 , 1 , 1 , 20 > fraction   | 1.72164948453608
17/05/24-19:58:22 | Phase 2 | < 3 , 1 , 1 , 20 > h_minus   | 0.987977773612406
17/05/24-19:58:24 | Phase 2 | < 3 , 1 , 1 , 20 > ACC[var,h]  | 0.5
17/05/24-19:58:24 | Phase 2 | < 3 , 1 , 1 , 20 > Zeros   | 40.1032583917916
17/05/24-19:58:24 | Phase 2 | < 3 , 1 , 1 , 20 > Num zeros  | 1
17/05/24-19:58:24 | Phase 2 | < 3 , 1 , 1 , 21 > NI_PLUS   | 167
17/05/24-19:58:24 | Phase 2 | < 3 , 1 , 1 , 21 > NI_MINUS   | 97
17/05/24-19:58:24 | Phase 2 | < 3 , 1 , 1 , 21 > h_plus   | 0.600432161616158
17/05/24-19:58:24 | Phase 2 | < 3 , 1 , 1 , 21 > fraction   | 1.72164948453608
17/05/24-19:58:24 | Phase 2 | < 3 , 1 , 1 , 21 > h_minus   | 1.03373372154534
17/05/24-19:58:24 | Phase 2 | < 3 , 1 , 1 , 21 > ACC[var,h]  | 0
17/05/24-19:58:24 | Phase 2 | < 3 , 1 , 1 , 21 > Zeros   | 
17/05/24-19:58:24 | Phase 2 | < 3 , 1 , 1 , 21 > Num zeros  | 0
17/05/24-19:58:24 | Phase 2 | < 3 , 1 , 1 , 22 > NI_PLUS   | 167
17/05/24-19:58:24 | Phase 2 | < 3 , 1 , 1 , 22 > NI_MINUS   | 97
17/05/24-19:58:24 | Phase 2 | < 3 , 1 , 1 , 22 > h_plus   | 0.627008969696966
17/05/24-19:58:24 | Phase 2 | < 3 , 1 , 1 , 22 > fraction   | 1.72164948453608
17/05/24-19:58:24 | Phase 2 | < 3 , 1 , 1 , 22 > h_minus   | 1.07948966947828
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 22 > ACC[var,h]  | 0
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 22 > Zeros   | 
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 22 > Num zeros  | 0
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 23 > NI_PLUS   | 167
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 23 > NI_MINUS   | 97
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 23 > h_plus   | 0.653585777777774
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 23 > fraction   | 1.72164948453608
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 23 > h_minus   | 1.12524561741122
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 23 > ACC[var,h]  | 0
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 23 > Zeros   | 
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 23 > Num zeros  | 0
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 24 > NI_PLUS   | 167
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 24 > NI_MINUS   | 97
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 24 > h_plus   | 0.680162585858582
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 24 > fraction   | 1.72164948453608
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 24 > h_minus   | 1.17100156534416
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 24 > ACC[var,h]  | 0
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 24 > Zeros   | 
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 24 > Num zeros  | 0
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 25 > NI_PLUS   | 167
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 25 > NI_MINUS   | 97
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 25 > h_plus   | 0.70673939393939
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 25 > fraction   | 1.72164948453608
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 25 > h_minus   | 1.21675751327709
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 25 > ACC[var,h]  | 0
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 25 > Zeros   | 
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 25 > Num zeros  | 0
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 26 > NI_PLUS   | 167
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 26 > NI_MINUS   | 97
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 26 > h_plus   | 0.733316202020198
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 26 > fraction   | 1.72164948453608
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 26 > h_minus   | 1.26251346121003
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 26 > ACC[var,h]  | 0
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 26 > Zeros   | 
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 26 > Num zeros  | 0
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 27 > NI_PLUS   | 167
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 27 > NI_MINUS   | 97
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 27 > h_plus   | 0.759893010101006
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 27 > fraction   | 1.72164948453608
17/05/24-19:58:25 | Phase 2 | < 3 , 1 , 1 , 27 > h_minus   | 1.30826940914297
17/05/24-19:58:26 | Phase 2 | < 3 , 1 , 1 , 27 > ACC[var,h]  | 0
17/05/24-19:58:26 | Phase 2 | < 3 , 1 , 1 , 27 > Zeros   | 
17/05/24-19:58:26 | Phase 2 | < 3 , 1 , 1 , 27 > Num zeros  | 0
17/05/24-19:58:26 | Phase 2 | < 3 , 1 , 1 , 28 > NI_PLUS   | 167
17/05/24-19:58:26 | Phase 2 | < 3 , 1 , 1 , 28 > NI_MINUS   | 97
17/05/24-19:58:26 | Phase 2 | < 3 , 1 , 1 , 28 > h_plus   | 0.786469818181814
17/05/24-19:58:26 | Phase 2 | < 3 , 1 , 1 , 28 > fraction   | 1.72164948453608
17/05/24-19:58:26 | Phase 2 | < 3 , 1 , 1 , 28 > h_minus   | 1.35402535707591
17/05/24-19:58:26 | Phase 2 | < 3 , 1 , 1 , 28 > ACC[var,h]  | 0
17/05/24-19:58:26 | Phase 2 | < 3 , 1 , 1 , 28 > Zeros   | 
17/05/24-19:58:26 | Phase 2 | < 3 , 1 , 1 , 28 > Num zeros  | 0
17/05/24-19:58:26 | Phase 2 | < 3 , 1 , 1 , 29 > NI_PLUS   | 167
17/05/24-19:58:26 | Phase 2 | < 3 , 1 , 1 , 29 > NI_MINUS   | 97
17/05/24-19:58:26 | Phase 2 | < 3 , 1 , 1 , 29 > h_plus   | 0.813046626262623
17/05/24-19:58:26 | Phase 2 | < 3 , 1 , 1 , 29 > fraction   | 1.72164948453608
17/05/24-19:58:26 | Phase 2 | < 3 , 1 , 1 , 29 > h_minus   | 1.39978130500885
17/05/24-19:58:26 | Phase 2 | < 3 , 1 , 1 , 29 > ACC[var,h]  | 0
17/05/24-19:58:26 | Phase 2 | < 3 , 1 , 1 , 29 > Zeros   | 
17/05/24-19:58:26 | Phase 2 | < 3 , 1 , 1 , 29 > Num zeros  | 0
17/05/24-19:58:26 | Phase 2 | < 3 , 1 , 1 , 30 > NI_PLUS   | 167
17/05/24-19:58:26 | Phase 2 | < 3 , 1 , 1 , 30 > NI_MINUS   | 97
17/05/24-19:58:26 | Phase 2 | < 3 , 1 , 1 , 30 > h_plus   | 0.839623434343431
17/05/24-19:58:26 | Phase 2 | < 3 , 1 , 1 , 30 > fraction   | 1.72164948453608
17/05/24-19:58:26 | Phase 2 | < 3 , 1 , 1 , 30 > h_minus   | 1.44553725294178
17/05/24-19:58:28 | Phase 2 | < 3 , 1 , 1 , 30 > ACC[var,h]  | 0.5
17/05/24-19:58:28 | Phase 2 | < 3 , 1 , 1 , 30 > Zeros   | 39.9531551755071
17/05/24-19:58:28 | Phase 2 | < 3 , 1 , 1 , 30 > Num zeros  | 1
17/05/24-19:58:28 | Phase 2 | < 3 , 1 , 1 , 31 > NI_PLUS   | 167
17/05/24-19:58:28 | Phase 2 | < 3 , 1 , 1 , 31 > NI_MINUS   | 97
17/05/24-19:58:28 | Phase 2 | < 3 , 1 , 1 , 31 > h_plus   | 0.866200242424239
17/05/24-19:58:28 | Phase 2 | < 3 , 1 , 1 , 31 > fraction   | 1.72164948453608
17/05/24-19:58:28 | Phase 2 | < 3 , 1 , 1 , 31 > h_minus   | 1.49129320087472
17/05/24-19:58:30 | Phase 2 | < 3 , 1 , 1 , 31 > ACC[var,h]  | 0.5
17/05/24-19:58:30 | Phase 2 | < 3 , 1 , 1 , 31 > Zeros   | 39.9951156200995
17/05/24-19:58:30 | Phase 2 | < 3 , 1 , 1 , 31 > Num zeros  | 1
17/05/24-19:58:30 | Phase 2 | < 3 , 1 , 1 , 32 > NI_PLUS   | 167
17/05/24-19:58:30 | Phase 2 | < 3 , 1 , 1 , 32 > NI_MINUS   | 97
17/05/24-19:58:30 | Phase 2 | < 3 , 1 , 1 , 32 > h_plus   | 0.892777050505047
17/05/24-19:58:30 | Phase 2 | < 3 , 1 , 1 , 32 > fraction   | 1.72164948453608
17/05/24-19:58:30 | Phase 2 | < 3 , 1 , 1 , 32 > h_minus   | 1.53704914880766
17/05/24-19:58:31 | Phase 2 | < 3 , 1 , 1 , 32 > ACC[var,h]  | 0.5
17/05/24-19:58:31 | Phase 2 | < 3 , 1 , 1 , 32 > Zeros   | 40.0416722013877
17/05/24-19:58:31 | Phase 2 | < 3 , 1 , 1 , 32 > Num zeros  | 1
17/05/24-19:58:31 | Phase 2 | < 3 , 1 , 1 , 33 > NI_PLUS   | 167
17/05/24-19:58:31 | Phase 2 | < 3 , 1 , 1 , 33 > NI_MINUS   | 97
17/05/24-19:58:31 | Phase 2 | < 3 , 1 , 1 , 33 > h_plus   | 0.919353858585855
17/05/24-19:58:31 | Phase 2 | < 3 , 1 , 1 , 33 > fraction   | 1.72164948453608
17/05/24-19:58:31 | Phase 2 | < 3 , 1 , 1 , 33 > h_minus   | 1.5828050967406
17/05/24-19:58:33 | Phase 2 | < 3 , 1 , 1 , 33 > ACC[var,h]  | 0.5
17/05/24-19:58:33 | Phase 2 | < 3 , 1 , 1 , 33 > Zeros   | 40.0985230149433
17/05/24-19:58:33 | Phase 2 | < 3 , 1 , 1 , 33 > Num zeros  | 1
17/05/24-19:58:33 | Phase 2 | < 3 , 1 , 1 , 34 > NI_PLUS   | 167
17/05/24-19:58:33 | Phase 2 | < 3 , 1 , 1 , 34 > NI_MINUS   | 97
17/05/24-19:58:33 | Phase 2 | < 3 , 1 , 1 , 34 > h_plus   | 0.945930666666663
17/05/24-19:58:33 | Phase 2 | < 3 , 1 , 1 , 34 > fraction   | 1.72164948453608
17/05/24-19:58:33 | Phase 2 | < 3 , 1 , 1 , 34 > h_minus   | 1.62856104467353
17/05/24-19:58:35 | Phase 2 | < 3 , 1 , 1 , 34 > ACC[var,h]  | 0.5
17/05/24-19:58:35 | Phase 2 | < 3 , 1 , 1 , 34 > Zeros   | 40.1556346246075
17/05/24-19:58:35 | Phase 2 | < 3 , 1 , 1 , 34 > Num zeros  | 1
17/05/24-19:58:35 | Phase 2 | < 3 , 1 , 1 , 35 > NI_PLUS   | 167
17/05/24-19:58:35 | Phase 2 | < 3 , 1 , 1 , 35 > NI_MINUS   | 97
17/05/24-19:58:35 | Phase 2 | < 3 , 1 , 1 , 35 > h_plus   | 0.972507474747471
17/05/24-19:58:35 | Phase 2 | < 3 , 1 , 1 , 35 > fraction   | 1.72164948453608
17/05/24-19:58:35 | Phase 2 | < 3 , 1 , 1 , 35 > h_minus   | 1.67431699260647
17/05/24-19:58:36 | Phase 2 | < 3 , 1 , 1 , 35 > ACC[var,h]  | 0.5
17/05/24-19:58:36 | Phase 2 | < 3 , 1 , 1 , 35 > Zeros   | 40.203908186227
17/05/24-19:58:36 | Phase 2 | < 3 , 1 , 1 , 35 > Num zeros  | 1
17/05/24-19:58:36 | Phase 2 | < 3 , 1 , 1 , 36 > NI_PLUS   | 167
17/05/24-19:58:36 | Phase 2 | < 3 , 1 , 1 , 36 > NI_MINUS   | 97
17/05/24-19:58:36 | Phase 2 | < 3 , 1 , 1 , 36 > h_plus   | 0.999084282828279
17/05/24-19:58:36 | Phase 2 | < 3 , 1 , 1 , 36 > fraction   | 1.72164948453608
17/05/24-19:58:36 | Phase 2 | < 3 , 1 , 1 , 36 > h_minus   | 1.72007294053941
17/05/24-19:58:38 | Phase 2 | < 3 , 1 , 1 , 36 > ACC[var,h]  | 0.5
17/05/24-19:58:38 | Phase 2 | < 3 , 1 , 1 , 36 > Zeros   | 40.2563918357892
17/05/24-19:58:38 | Phase 2 | < 3 , 1 , 1 , 36 > Num zeros  | 1
17/05/24-19:58:38 | Phase 2 | < 3 , 1 , 1 , 37 > NI_PLUS   | 167
17/05/24-19:58:38 | Phase 2 | < 3 , 1 , 1 , 37 > NI_MINUS   | 97
17/05/24-19:58:38 | Phase 2 | < 3 , 1 , 1 , 37 > h_plus   | 1.02566109090909
17/05/24-19:58:38 | Phase 2 | < 3 , 1 , 1 , 37 > fraction   | 1.72164948453608
17/05/24-19:58:38 | Phase 2 | < 3 , 1 , 1 , 37 > h_minus   | 1.76582888847235
17/05/24-19:58:40 | Phase 2 | < 3 , 1 , 1 , 37 > ACC[var,h]  | 0.5
17/05/24-19:58:40 | Phase 2 | < 3 , 1 , 1 , 37 > Zeros   | 40.3139281761234
17/05/24-19:58:40 | Phase 2 | < 3 , 1 , 1 , 37 > Num zeros  | 1
17/05/24-19:58:40 | Phase 2 | < 3 , 1 , 1 , 38 > NI_PLUS   | 167
17/05/24-19:58:40 | Phase 2 | < 3 , 1 , 1 , 38 > NI_MINUS   | 97
17/05/24-19:58:40 | Phase 2 | < 3 , 1 , 1 , 38 > h_plus   | 1.0522378989899
17/05/24-19:58:40 | Phase 2 | < 3 , 1 , 1 , 38 > fraction   | 1.72164948453608
17/05/24-19:58:40 | Phase 2 | < 3 , 1 , 1 , 38 > h_minus   | 1.81158483640528
17/05/24-19:58:42 | Phase 2 | < 3 , 1 , 1 , 38 > ACC[var,h]  | 0.5
17/05/24-19:58:42 | Phase 2 | < 3 , 1 , 1 , 38 > Zeros   | 40.3653095664647
17/05/24-19:58:42 | Phase 2 | < 3 , 1 , 1 , 38 > Num zeros  | 1
17/05/24-19:58:42 | Phase 2 | < 3 , 1 , 1 , 39 > NI_PLUS   | 167
17/05/24-19:58:42 | Phase 2 | < 3 , 1 , 1 , 39 > NI_MINUS   | 97
17/05/24-19:58:42 | Phase 2 | < 3 , 1 , 1 , 39 > h_plus   | 1.0788147070707
17/05/24-19:58:42 | Phase 2 | < 3 , 1 , 1 , 39 > fraction   | 1.72164948453608
17/05/24-19:58:42 | Phase 2 | < 3 , 1 , 1 , 39 > h_minus   | 1.85734078433822
17/05/24-19:58:43 | Phase 2 | < 3 , 1 , 1 , 39 > ACC[var,h]  | 0.5
17/05/24-19:58:43 | Phase 2 | < 3 , 1 , 1 , 39 > Zeros   | 40.4130041630975
17/05/24-19:58:43 | Phase 2 | < 3 , 1 , 1 , 39 > Num zeros  | 1
17/05/24-19:58:43 | Phase 2 | < 3 , 1 , 1 , 40 > NI_PLUS   | 167
17/05/24-19:58:43 | Phase 2 | < 3 , 1 , 1 , 40 > NI_MINUS   | 97
17/05/24-19:58:43 | Phase 2 | < 3 , 1 , 1 , 40 > h_plus   | 1.10539151515151
17/05/24-19:58:43 | Phase 2 | < 3 , 1 , 1 , 40 > fraction   | 1.72164948453608
17/05/24-19:58:43 | Phase 2 | < 3 , 1 , 1 , 40 > h_minus   | 1.90309673227116
17/05/24-19:58:45 | Phase 2 | < 3 , 1 , 1 , 40 > ACC[var,h]  | 0.5
17/05/24-19:58:45 | Phase 2 | < 3 , 1 , 1 , 40 > Zeros   | 40.4624734275773
17/05/24-19:58:45 | Phase 2 | < 3 , 1 , 1 , 40 > Num zeros  | 1
17/05/24-19:58:45 | Phase 2 | < 3 , 1 , 1 , 41 > NI_PLUS   | 167
17/05/24-19:58:45 | Phase 2 | < 3 , 1 , 1 , 41 > NI_MINUS   | 97
17/05/24-19:58:45 | Phase 2 | < 3 , 1 , 1 , 41 > h_plus   | 1.13196832323232
17/05/24-19:58:45 | Phase 2 | < 3 , 1 , 1 , 41 > fraction   | 1.72164948453608
17/05/24-19:58:45 | Phase 2 | < 3 , 1 , 1 , 41 > h_minus   | 1.9488526802041
17/05/24-19:58:47 | Phase 2 | < 3 , 1 , 1 , 41 > ACC[var,h]  | 0.5
17/05/24-19:58:47 | Phase 2 | < 3 , 1 , 1 , 41 > Zeros   | 40.5137834797794
17/05/24-19:58:47 | Phase 2 | < 3 , 1 , 1 , 41 > Num zeros  | 1
17/05/24-19:58:47 | Phase 2 | < 3 , 1 , 1 , 42 > NI_PLUS   | 167
17/05/24-19:58:47 | Phase 2 | < 3 , 1 , 1 , 42 > NI_MINUS   | 97
17/05/24-19:58:47 | Phase 2 | < 3 , 1 , 1 , 42 > h_plus   | 1.15854513131313
17/05/24-19:58:47 | Phase 2 | < 3 , 1 , 1 , 42 > fraction   | 1.72164948453608
17/05/24-19:58:47 | Phase 2 | < 3 , 1 , 1 , 42 > h_minus   | 1.99460862813703
17/05/24-19:58:48 | Phase 2 | < 3 , 1 , 1 , 42 > ACC[var,h]  | 0.5
17/05/24-19:58:48 | Phase 2 | < 3 , 1 , 1 , 42 > Zeros   | 40.5670064183843
17/05/24-19:58:48 | Phase 2 | < 3 , 1 , 1 , 42 > Num zeros  | 1
17/05/24-19:58:48 | Phase 2 | < 3 , 1 , 1 , 43 > NI_PLUS   | 167
17/05/24-19:58:48 | Phase 2 | < 3 , 1 , 1 , 43 > NI_MINUS   | 97
17/05/24-19:58:48 | Phase 2 | < 3 , 1 , 1 , 43 > h_plus   | 1.18512193939394
17/05/24-19:58:48 | Phase 2 | < 3 , 1 , 1 , 43 > fraction   | 1.72164948453608
17/05/24-19:58:48 | Phase 2 | < 3 , 1 , 1 , 43 > h_minus   | 2.04036457606997
17/05/24-19:58:50 | Phase 2 | < 3 , 1 , 1 , 43 > ACC[var,h]  | 0.5
17/05/24-19:58:50 | Phase 2 | < 3 , 1 , 1 , 43 > Zeros   | 40.6222210665038
17/05/24-19:58:50 | Phase 2 | < 3 , 1 , 1 , 43 > Num zeros  | 1
17/05/24-19:58:50 | Phase 2 | < 3 , 1 , 1 , 44 > NI_PLUS   | 167
17/05/24-19:58:50 | Phase 2 | < 3 , 1 , 1 , 44 > NI_MINUS   | 97
17/05/24-19:58:50 | Phase 2 | < 3 , 1 , 1 , 44 > h_plus   | 1.21169874747474
17/05/24-19:58:50 | Phase 2 | < 3 , 1 , 1 , 44 > fraction   | 1.72164948453608
17/05/24-19:58:50 | Phase 2 | < 3 , 1 , 1 , 44 > h_minus   | 2.08612052400291
17/05/24-19:58:52 | Phase 2 | < 3 , 1 , 1 , 44 > ACC[var,h]  | 0.5
17/05/24-19:58:52 | Phase 2 | < 3 , 1 , 1 , 44 > Zeros   | 40.6795138442349
17/05/24-19:58:52 | Phase 2 | < 3 , 1 , 1 , 44 > Num zeros  | 1
17/05/24-19:58:52 | Phase 2 | < 3 , 1 , 1 , 45 > NI_PLUS   | 167
17/05/24-19:58:52 | Phase 2 | < 3 , 1 , 1 , 45 > NI_MINUS   | 97
17/05/24-19:58:52 | Phase 2 | < 3 , 1 , 1 , 45 > h_plus   | 1.23827555555555
17/05/24-19:58:52 | Phase 2 | < 3 , 1 , 1 , 45 > fraction   | 1.72164948453608
17/05/24-19:58:52 | Phase 2 | < 3 , 1 , 1 , 45 > h_minus   | 2.13187647193585
17/05/24-19:58:53 | Phase 2 | < 3 , 1 , 1 , 45 > ACC[var,h]  | 0.5
17/05/24-19:58:53 | Phase 2 | < 3 , 1 , 1 , 45 > Zeros   | 40.7677309544914
17/05/24-19:58:53 | Phase 2 | < 3 , 1 , 1 , 45 > Num zeros  | 1
17/05/24-19:58:53 | Phase 2 | < 3 , 1 , 1 , 46 > NI_PLUS   | 167
17/05/24-19:58:53 | Phase 2 | < 3 , 1 , 1 , 46 > NI_MINUS   | 97
17/05/24-19:58:53 | Phase 2 | < 3 , 1 , 1 , 46 > h_plus   | 1.26485236363636
17/05/24-19:58:53 | Phase 2 | < 3 , 1 , 1 , 46 > fraction   | 1.72164948453608
17/05/24-19:58:53 | Phase 2 | < 3 , 1 , 1 , 46 > h_minus   | 2.17763241986879
17/05/24-19:58:54 | Phase 2 | < 3 , 1 , 1 , 46 > ACC[var,h]  | 0
17/05/24-19:58:54 | Phase 2 | < 3 , 1 , 1 , 46 > Zeros   | 
17/05/24-19:58:54 | Phase 2 | < 3 , 1 , 1 , 46 > Num zeros  | 0
17/05/24-19:58:54 | Phase 2 | < 3 , 1 , 1 , 47 > NI_PLUS   | 167
17/05/24-19:58:54 | Phase 2 | < 3 , 1 , 1 , 47 > NI_MINUS   | 97
17/05/24-19:58:54 | Phase 2 | < 3 , 1 , 1 , 47 > h_plus   | 1.29142917171717
17/05/24-19:58:54 | Phase 2 | < 3 , 1 , 1 , 47 > fraction   | 1.72164948453608
17/05/24-19:58:54 | Phase 2 | < 3 , 1 , 1 , 47 > h_minus   | 2.22338836780172
17/05/24-19:58:54 | Phase 2 | < 3 , 1 , 1 , 47 > ACC[var,h]  | 0
17/05/24-19:58:54 | Phase 2 | < 3 , 1 , 1 , 47 > Zeros   | 
17/05/24-19:58:54 | Phase 2 | < 3 , 1 , 1 , 47 > Num zeros  | 0
17/05/24-19:58:54 | Phase 2 | < 3 , 1 , 1 , 48 > NI_PLUS   | 167
17/05/24-19:58:54 | Phase 2 | < 3 , 1 , 1 , 48 > NI_MINUS   | 97
17/05/24-19:58:54 | Phase 2 | < 3 , 1 , 1 , 48 > h_plus   | 1.31800597979798
17/05/24-19:58:54 | Phase 2 | < 3 , 1 , 1 , 48 > fraction   | 1.72164948453608
17/05/24-19:58:54 | Phase 2 | < 3 , 1 , 1 , 48 > h_minus   | 2.26914431573466
17/05/24-19:58:54 | Phase 2 | < 3 , 1 , 1 , 48 > ACC[var,h]  | 0
17/05/24-19:58:54 | Phase 2 | < 3 , 1 , 1 , 48 > Zeros   | 
17/05/24-19:58:54 | Phase 2 | < 3 , 1 , 1 , 48 > Num zeros  | 0
17/05/24-19:58:54 | Phase 2 | < 3 , 1 , 1 , 49 > NI_PLUS   | 167
17/05/24-19:58:54 | Phase 2 | < 3 , 1 , 1 , 49 > NI_MINUS   | 97
17/05/24-19:58:54 | Phase 2 | < 3 , 1 , 1 , 49 > h_plus   | 1.34458278787879
17/05/24-19:58:54 | Phase 2 | < 3 , 1 , 1 , 49 > fraction   | 1.72164948453608
17/05/24-19:58:54 | Phase 2 | < 3 , 1 , 1 , 49 > h_minus   | 2.3149002636676
17/05/24-19:58:54 | Phase 2 | < 3 , 1 , 1 , 49 > ACC[var,h]  | 0
