17/02/06-23:10:06 | Phase 1 | BEGIN | Parameter initialization
17/02/06-23:10:07 | Phase 1 | Step 7: Estimating H values | Variable 55
17/02/06-23:10:07 | Phase 1 | Step 7: Estimating H values | Variable 0.000199999999999999, 0.000420707070707069, 0.00064141414141414, 0.000862121212121211, 0.00108282828282828, 0.00130353535353535, 0.00152424242424242, 0.00174494949494949, 0.00196565656565656, 0.00218636363636363, 0.00240707070707071, 0.00262777777777778, 0.00284848484848485, 0.00306919191919192, 0.00328989898989899, 0.00351060606060606, 0.00373131313131313, 0.0039520202020202, 0.00417272727272727, 0.00439343434343434, 0.00461414141414141, 0.00483484848484848, 0.00505555555555555, 0.00527626262626262, 0.00549696969696969, 0.00571767676767677, 0.00593838383838384, 0.00615909090909091, 0.00637979797979798, 0.00660050505050505, 0.00682121212121212, 0.00704191919191919, 0.00726262626262626, 0.00748333333333333, 0.0077040404040404, 0.00792474747474747, 0.00814545454545454, 0.00836616161616161, 0.00858686868686868, 0.00880757575757576, 0.00902828282828283, 0.0092489898989899, 0.00946969696969697, 0.00969040404040404, 0.00991111111111111, 0.0101318181818182, 0.0103525252525253, 0.0105732323232323, 0.0107939393939394, 0.0110146464646465, 0.0112353535353535, 0.0114560606060606, 0.0116767676767677, 0.0118974747474747, 0.0121181818181818, 0.0123388888888889, 0.012559595959596, 0.012780303030303, 0.0130010101010101, 0.0132217171717172, 0.0134424242424242, 0.0136631313131313, 0.0138838383838384, 0.0141045454545455, 0.0143252525252525, 0.0145459595959596, 0.0147666666666667, 0.0149873737373737, 0.0152080808080808, 0.0154287878787879, 0.0156494949494949, 0.015870202020202, 0.0160909090909091, 0.0163116161616162, 0.0165323232323232, 0.0167530303030303, 0.0169737373737374, 0.0171944444444444, 0.0174151515151515, 0.0176358585858586, 0.0178565656565657, 0.0180772727272727, 0.0182979797979798, 0.0185186868686869, 0.0187393939393939, 0.018960101010101, 0.0191808080808081, 0.0194015151515151, 0.0196222222222222, 0.0198429292929293, 0.0200636363636364, 0.0202843434343434, 0.0205050505050505, 0.0207257575757576, 0.0209464646464646, 0.0211671717171717, 0.0213878787878788, 0.0216085858585859, 0.0218292929292929, 0.02205
17/02/06-23:10:07 | Phase 1 | Step 7: Estimating H values | Variable 56
17/02/06-23:10:07 | Phase 1 | Step 7: Estimating H values | Variable 0.000199999999999999, 0.000394949494949494, 0.000589898989898989, 0.000784848484848484, 0.000979797979797979, 0.00117474747474747, 0.00136969696969697, 0.00156464646464646, 0.00175959595959596, 0.00195454545454545, 0.00214949494949495, 0.00234444444444444, 0.00253939393939394, 0.00273434343434343, 0.00292929292929293, 0.00312424242424242, 0.00331919191919192, 0.00351414141414141, 0.00370909090909091, 0.0039040404040404, 0.0040989898989899, 0.00429393939393939, 0.00448888888888889, 0.00468383838383838, 0.00487878787878788, 0.00507373737373737, 0.00526868686868687, 0.00546363636363636, 0.00565858585858586, 0.00585353535353535, 0.00604848484848485, 0.00624343434343434, 0.00643838383838384, 0.00663333333333333, 0.00682828282828283, 0.00702323232323232, 0.00721818181818182, 0.00741313131313131, 0.00760808080808081, 0.0078030303030303, 0.0079979797979798, 0.00819292929292929, 0.00838787878787879, 0.00858282828282828, 0.00877777777777778, 0.00897272727272727, 0.00916767676767677, 0.00936262626262626, 0.00955757575757576, 0.00975252525252525, 0.00994747474747475, 0.0101424242424242, 0.0103373737373737, 0.0105323232323232, 0.0107272727272727, 0.0109222222222222, 0.0111171717171717, 0.0113121212121212, 0.0115070707070707, 0.0117020202020202, 0.0118969696969697, 0.0120919191919192, 0.0122868686868687, 0.0124818181818182, 0.0126767676767677, 0.0128717171717172, 0.0130666666666667, 0.0132616161616162, 0.0134565656565657, 0.0136515151515152, 0.0138464646464646, 0.0140414141414141, 0.0142363636363636, 0.0144313131313131, 0.0146262626262626, 0.0148212121212121, 0.0150161616161616, 0.0152111111111111, 0.0154060606060606, 0.0156010101010101, 0.0157959595959596, 0.0159909090909091, 0.0161858585858586, 0.0163808080808081, 0.0165757575757576, 0.0167707070707071, 0.0169656565656566, 0.0171606060606061, 0.0173555555555556, 0.0175505050505051, 0.0177454545454545, 0.017940404040404, 0.0181353535353535, 0.018330303030303, 0.0185252525252525, 0.018720202020202, 0.0189151515151515, 0.019110101010101, 0.0193050505050505, 0.0195
17/02/06-23:10:07 | Phase 1 | Step 7: Estimating H values | Variable 57
17/02/06-23:10:07 | Phase 1 | Step 7: Estimating H values | Variable 0.000199999999999999, 0.000375757575757575, 0.00055151515151515, 0.000727272727272726, 0.000903030303030302, 0.00107878787878788, 0.00125454545454545, 0.00143030303030303, 0.0016060606060606, 0.00178181818181818, 0.00195757575757576, 0.00213333333333333, 0.00230909090909091, 0.00248484848484848, 0.00266060606060606, 0.00283636363636364, 0.00301212121212121, 0.00318787878787879, 0.00336363636363636, 0.00353939393939394, 0.00371515151515151, 0.00389090909090909, 0.00406666666666667, 0.00424242424242424, 0.00441818181818182, 0.00459393939393939, 0.00476969696969697, 0.00494545454545454, 0.00512121212121212, 0.0052969696969697, 0.00547272727272727, 0.00564848484848485, 0.00582424242424242, 0.006, 0.00617575757575757, 0.00635151515151515, 0.00652727272727273, 0.0067030303030303, 0.00687878787878788, 0.00705454545454545, 0.00723030303030303, 0.0074060606060606, 0.00758181818181818, 0.00775757575757576, 0.00793333333333333, 0.00810909090909091, 0.00828484848484848, 0.00846060606060606, 0.00863636363636363, 0.00881212121212121, 0.00898787878787879, 0.00916363636363636, 0.00933939393939394, 0.00951515151515151, 0.00969090909090909, 0.00986666666666666, 0.0100424242424242, 0.0102181818181818, 0.0103939393939394, 0.010569696969697, 0.0107454545454545, 0.0109212121212121, 0.0110969696969697, 0.0112727272727273, 0.0114484848484848, 0.0116242424242424, 0.0118, 0.0119757575757576, 0.0121515151515151, 0.0123272727272727, 0.0125030303030303, 0.0126787878787879, 0.0128545454545455, 0.013030303030303, 0.0132060606060606, 0.0133818181818182, 0.0135575757575758, 0.0137333333333333, 0.0139090909090909, 0.0140848484848485, 0.0142606060606061, 0.0144363636363636, 0.0146121212121212, 0.0147878787878788, 0.0149636363636364, 0.0151393939393939, 0.0153151515151515, 0.0154909090909091, 0.0156666666666667, 0.0158424242424242, 0.0160181818181818, 0.0161939393939394, 0.016369696969697, 0.0165454545454545, 0.0167212121212121, 0.0168969696969697, 0.0170727272727273, 0.0172484848484848, 0.0174242424242424, 0.0176
17/02/06-23:10:07 | Phase 1 | Step 7: Estimating H values | Variable 58
17/02/06-23:10:07 | Phase 1 | Step 7: Estimating H values | Variable 0.000199999999999999, 0.000418686868686867, 0.000637373737373736, 0.000856060606060605, 0.00107474747474747, 0.00129343434343434, 0.00151212121212121, 0.00173080808080808, 0.00194949494949495, 0.00216818181818182, 0.00238686868686869, 0.00260555555555555, 0.00282424242424242, 0.00304292929292929, 0.00326161616161616, 0.00348030303030303, 0.0036989898989899, 0.00391767676767677, 0.00413636363636364, 0.0043550505050505, 0.00457373737373737, 0.00479242424242424, 0.00501111111111111, 0.00522979797979798, 0.00544848484848485, 0.00566717171717172, 0.00588585858585858, 0.00610454545454545, 0.00632323232323232, 0.00654191919191919, 0.00676060606060606, 0.00697929292929293, 0.0071979797979798, 0.00741666666666667, 0.00763535353535353, 0.0078540404040404, 0.00807272727272727, 0.00829141414141414, 0.00851010101010101, 0.00872878787878788, 0.00894747474747475, 0.00916616161616161, 0.00938484848484848, 0.00960353535353535, 0.00982222222222222, 0.0100409090909091, 0.010259595959596, 0.0104782828282828, 0.0106969696969697, 0.0109156565656566, 0.0111343434343434, 0.0113530303030303, 0.0115717171717172, 0.011790404040404, 0.0120090909090909, 0.0122277777777778, 0.0124464646464646, 0.0126651515151515, 0.0128838383838384, 0.0131025252525253, 0.0133212121212121, 0.013539898989899, 0.0137585858585859, 0.0139772727272727, 0.0141959595959596, 0.0144146464646465, 0.0146333333333333, 0.0148520202020202, 0.0150707070707071, 0.0152893939393939, 0.0155080808080808, 0.0157267676767677, 0.0159454545454545, 0.0161641414141414, 0.0163828282828283, 0.0166015151515151, 0.016820202020202, 0.0170388888888889, 0.0172575757575758, 0.0174762626262626, 0.0176949494949495, 0.0179136363636364, 0.0181323232323232, 0.0183510101010101, 0.018569696969697, 0.0187883838383838, 0.0190070707070707, 0.0192257575757576, 0.0194444444444444, 0.0196631313131313, 0.0198818181818182, 0.020100505050505, 0.0203191919191919, 0.0205378787878788, 0.0207565656565657, 0.0209752525252525, 0.0211939393939394, 0.0214126262626263, 0.0216313131313131, 0.02185
17/02/06-23:10:07 | Phase 1 | Step 7: Estimating H values | Variable 59
17/02/06-23:10:07 | Phase 1 | Step 7: Estimating H values | Variable 0.000199999999999999, 0.00038131313131313, 0.000562626262626261, 0.000743939393939393, 0.000925252525252524, 0.00110656565656566, 0.00128787878787879, 0.00146919191919192, 0.00165050505050505, 0.00183181818181818, 0.00201313131313131, 0.00219444444444444, 0.00237575757575757, 0.00255707070707071, 0.00273838383838384, 0.00291969696969697, 0.0031010101010101, 0.00328232323232323, 0.00346363636363636, 0.00364494949494949, 0.00382626262626263, 0.00400757575757576, 0.00418888888888889, 0.00437020202020202, 0.00455151515151515, 0.00473282828282828, 0.00491414141414141, 0.00509545454545454, 0.00527676767676768, 0.00545808080808081, 0.00563939393939394, 0.00582070707070707, 0.0060020202020202, 0.00618333333333333, 0.00636464646464646, 0.0065459595959596, 0.00672727272727273, 0.00690858585858586, 0.00708989898989899, 0.00727121212121212, 0.00745252525252525, 0.00763383838383838, 0.00781515151515151, 0.00799646464646465, 0.00817777777777778, 0.00835909090909091, 0.00854040404040404, 0.00872171717171717, 0.0089030303030303, 0.00908434343434343, 0.00926565656565657, 0.0094469696969697, 0.00962828282828283, 0.00980959595959596, 0.00999090909090909, 0.0101722222222222, 0.0103535353535354, 0.0105348484848485, 0.0107161616161616, 0.0108974747474747, 0.0110787878787879, 0.011260101010101, 0.0114414141414141, 0.0116227272727273, 0.0118040404040404, 0.0119853535353535, 0.0121666666666667, 0.0123479797979798, 0.0125292929292929, 0.0127106060606061, 0.0128919191919192, 0.0130732323232323, 0.0132545454545455, 0.0134358585858586, 0.0136171717171717, 0.0137984848484848, 0.013979797979798, 0.0141611111111111, 0.0143424242424242, 0.0145237373737374, 0.0147050505050505, 0.0148863636363636, 0.0150676767676768, 0.0152489898989899, 0.015430303030303, 0.0156116161616162, 0.0157929292929293, 0.0159742424242424, 0.0161555555555556, 0.0163368686868687, 0.0165181818181818, 0.016699494949495, 0.0168808080808081, 0.0170621212121212, 0.0172434343434343, 0.0174247474747475, 0.0176060606060606, 0.0177873737373737, 0.0179686868686869, 0.01815
17/02/06-23:10:07 | Phase 1 | Step 7: Estimating H values | Variable 60
17/02/06-23:10:07 | Phase 1 | Step 7: Estimating H values | Variable 0.000199999999999999, 0.000416666666666665, 0.000633333333333332, 0.000849999999999999, 0.00106666666666667, 0.00128333333333333, 0.0015, 0.00171666666666667, 0.00193333333333333, 0.00215, 0.00236666666666667, 0.00258333333333333, 0.0028, 0.00301666666666667, 0.00323333333333333, 0.00345, 0.00366666666666667, 0.00388333333333333, 0.0041, 0.00431666666666666, 0.00453333333333333, 0.00475, 0.00496666666666667, 0.00518333333333333, 0.0054, 0.00561666666666667, 0.00583333333333333, 0.00605, 0.00626666666666667, 0.00648333333333333, 0.0067, 0.00691666666666666, 0.00713333333333333, 0.00735, 0.00756666666666667, 0.00778333333333333, 0.008, 0.00821666666666667, 0.00843333333333333, 0.00865, 0.00886666666666667, 0.00908333333333333, 0.0093, 0.00951666666666666, 0.00973333333333333, 0.00995, 0.0101666666666667, 0.0103833333333333, 0.0106, 0.0108166666666667, 0.0110333333333333, 0.01125, 0.0114666666666667, 0.0116833333333333, 0.0119, 0.0121166666666667, 0.0123333333333333, 0.01255, 0.0127666666666667, 0.0129833333333333, 0.0132, 0.0134166666666667, 0.0136333333333333, 0.01385, 0.0140666666666667, 0.0142833333333333, 0.0145, 0.0147166666666667, 0.0149333333333333, 0.01515, 0.0153666666666667, 0.0155833333333333, 0.0158, 0.0160166666666667, 0.0162333333333333, 0.01645, 0.0166666666666667, 0.0168833333333333, 0.0171, 0.0173166666666667, 0.0175333333333333, 0.01775, 0.0179666666666667, 0.0181833333333333, 0.0184, 0.0186166666666667, 0.0188333333333333, 0.01905, 0.0192666666666667, 0.0194833333333333, 0.0197, 0.0199166666666667, 0.0201333333333333, 0.02035, 0.0205666666666667, 0.0207833333333333, 0.021, 0.0212166666666667, 0.0214333333333333, 0.02165
17/02/06-23:10:07 | Phase 1 | Step 8: Writting H values | Started
17/02/06-23:10:08 | Phase 1 | Step 8: Writting H values | Finished
17/02/06-23:10:08 | Phase 1 | END   | Parameters READY
17/02/06-23:10:08 | Phase 2 | Discretization Policy Calculation  | STARTED
17/02/06-23:10:08 | Phase 2 | < 1 , 1 > NI_PLUS   | 99
17/02/06-23:10:08 | Phase 2 | < 1 , 1 > NI_MINUS   | 88
17/02/06-23:10:08 | Phase 2 | < 1 , 1 > h_plus   | 0.000199999999999992
17/02/06-23:10:08 | Phase 2 | < 1 , 1 > fraction   | 1.125
17/02/06-23:10:08 | Phase 2 | < 1 , 1 > h_minus   | 0.000224999999999991
17/02/06-23:10:08 | Phase 2 | < 1 , 1 > ACC[var,h]  | 0.853535353535353
17/02/06-23:10:08 | Phase 2 | < 1 , 1 > Zeros   | 0.0492999999999995
17/02/06-23:10:08 | Phase 2 | < 1 , 1 > Num zeros  | 1
17/02/06-23:10:08 | Phase 2 | < 1 , 1 > Best Policy           | 0.0492999999999995
17/02/06-23:10:08 | Phase 2 | < 1 , 1 > Best Policy (Metric)  | 0.853535353535353
17/02/06-23:10:08 | Phase 2 | < 1 , 1 > Best Policy (H +   )  | 0.000199999999999992
17/02/06-23:10:08 | Phase 2 | < 1 , 1 > Best Policy (H -   )  | 0.000224999999999991
17/02/06-23:10:08 | Phase 2 | < 1 , 2 > NI_PLUS   | 99
17/02/06-23:10:08 | Phase 2 | < 1 , 2 > NI_MINUS   | 88
17/02/06-23:10:08 | Phase 2 | < 1 , 2 > h_plus   | 0.000882828282828275
17/02/06-23:10:08 | Phase 2 | < 1 , 2 > fraction   | 1.125
17/02/06-23:10:08 | Phase 2 | < 1 , 2 > h_minus   | 0.000993181818181809
17/02/06-23:10:08 | Phase 2 | < 1 , 2 > ACC[var,h]  | 0.950757575757576
17/02/06-23:10:08 | Phase 2 | < 1 , 2 > Zeros   | 0.0752068181818182, 0.084606818181819
17/02/06-23:10:08 | Phase 2 | < 1 , 2 > Num zeros  | 2
17/02/06-23:10:08 | Phase 2 | < 1 , 3 > NI_PLUS   | 99
17/02/06-23:10:08 | Phase 2 | < 1 , 3 > NI_MINUS   | 88
17/02/06-23:10:08 | Phase 2 | < 1 , 3 > h_plus   | 0.00156565656565656
17/02/06-23:10:08 | Phase 2 | < 1 , 3 > fraction   | 1.125
17/02/06-23:10:08 | Phase 2 | < 1 , 3 > h_minus   | 0.00176136363636363
17/02/06-23:10:08 | Phase 2 | < 1 , 3 > ACC[var,h]  | 0.939393939393939
17/02/06-23:10:08 | Phase 2 | < 1 , 3 > Zeros   | 0.0838386363636367, 0.0873613636363633, 0.129734343434344, 0.132865656565656
17/02/06-23:10:08 | Phase 2 | < 1 , 3 > Num zeros  | 4
17/02/06-23:10:08 | Phase 2 | < 1 , 4 > NI_PLUS   | 99
17/02/06-23:10:08 | Phase 2 | < 1 , 4 > NI_MINUS   | 88
17/02/06-23:10:08 | Phase 2 | < 1 , 4 > h_plus   | 0.00224848484848484
17/02/06-23:10:08 | Phase 2 | < 1 , 4 > fraction   | 1.125
17/02/06-23:10:08 | Phase 2 | < 1 , 4 > h_minus   | 0.00252954545454545
17/02/06-23:10:09 | Phase 2 | < 1 , 4 > ACC[var,h]  | 0.843434343434343
17/02/06-23:10:09 | Phase 2 | < 1 , 4 > Zeros   | 0.0473117647058824, 0.0513484848484848, 0.0830704545454547, 0.129051515151515, 0.133548484848485
17/02/06-23:10:09 | Phase 2 | < 1 , 4 > Num zeros  | 5
17/02/06-23:10:09 | Phase 2 | < 1 , 4 > Best Policy           | 0.0473117647058824, 0.0513484848484848, 0.0830704545454547, 0.129051515151515, 0.133548484848485
17/02/06-23:10:09 | Phase 2 | < 1 , 4 > Best Policy (Metric)  | 0.843434343434343
17/02/06-23:10:09 | Phase 2 | < 1 , 4 > Best Policy (H +   )  | 0.00224848484848484
17/02/06-23:10:09 | Phase 2 | < 1 , 4 > Best Policy (H -   )  | 0.00252954545454545
17/02/06-23:10:09 | Phase 2 | < 1 , 5 > NI_PLUS   | 99
17/02/06-23:10:09 | Phase 2 | < 1 , 5 > NI_MINUS   | 88
17/02/06-23:10:09 | Phase 2 | < 1 , 5 > h_plus   | 0.00293131313131312
17/02/06-23:10:09 | Phase 2 | < 1 , 5 > fraction   | 1.125
17/02/06-23:10:09 | Phase 2 | < 1 , 5 > h_minus   | 0.00329772727272726
17/02/06-23:10:09 | Phase 2 | < 1 , 5 > ACC[var,h]  | 0.843434343434343
17/02/06-23:10:09 | Phase 2 | < 1 , 5 > Zeros   | 0.0473117647058824, 0.128368686868687
17/02/06-23:10:09 | Phase 2 | < 1 , 5 > Num zeros  | 2
17/02/06-23:10:09 | Phase 2 | < 1 , 6 > NI_PLUS   | 99
17/02/06-23:10:09 | Phase 2 | < 1 , 6 > NI_MINUS   | 88
17/02/06-23:10:09 | Phase 2 | < 1 , 6 > h_plus   | 0.00361414141414141
17/02/06-23:10:09 | Phase 2 | < 1 , 6 > fraction   | 1.125
17/02/06-23:10:09 | Phase 2 | < 1 , 6 > h_minus   | 0.00406590909090908
17/02/06-23:10:09 | Phase 2 | < 1 , 6 > ACC[var,h]  | 0.825757575757576
17/02/06-23:10:09 | Phase 2 | < 1 , 6 > Zeros   | 0.0159340909090909, 0.0473117647058824, 0.0527141414141414, 0.081534090909091, 0.127685858585859
17/02/06-23:10:09 | Phase 2 | < 1 , 6 > Num zeros  | 5
17/02/06-23:10:09 | Phase 2 | < 1 , 6 > Best Policy           | 0.0159340909090909, 0.0473117647058824, 0.0527141414141414, 0.081534090909091, 0.127685858585859
17/02/06-23:10:09 | Phase 2 | < 1 , 6 > Best Policy (Metric)  | 0.825757575757576
17/02/06-23:10:09 | Phase 2 | < 1 , 6 > Best Policy (H +   )  | 0.00361414141414141
17/02/06-23:10:09 | Phase 2 | < 1 , 6 > Best Policy (H -   )  | 0.00406590909090908
17/02/06-23:10:09 | Phase 2 | < 1 , 7 > NI_PLUS   | 99
17/02/06-23:10:09 | Phase 2 | < 1 , 7 > NI_MINUS   | 88
17/02/06-23:10:09 | Phase 2 | < 1 , 7 > h_plus   | 0.00429696969696969
17/02/06-23:10:09 | Phase 2 | < 1 , 7 > fraction   | 1.125
17/02/06-23:10:09 | Phase 2 | < 1 , 7 > h_minus   | 0.0048340909090909
17/02/06-23:10:09 | Phase 2 | < 1 , 7 > ACC[var,h]  | 0.819444444444444
17/02/06-23:10:09 | Phase 2 | < 1 , 7 > Zeros   | 0.0404659090909091, 0.0473117647058824, 0.0533969696969696
17/02/06-23:10:09 | Phase 2 | < 1 , 7 > Num zeros  | 3
17/02/06-23:10:09 | Phase 2 | < 1 , 7 > Best Policy           | 0.0404659090909091, 0.0473117647058824, 0.0533969696969696
17/02/06-23:10:09 | Phase 2 | < 1 , 7 > Best Policy (Metric)  | 0.819444444444444
17/02/06-23:10:09 | Phase 2 | < 1 , 7 > Best Policy (H +   )  | 0.00429696969696969
17/02/06-23:10:09 | Phase 2 | < 1 , 7 > Best Policy (H -   )  | 0.0048340909090909
17/02/06-23:10:09 | Phase 2 | < 1 , 8 > NI_PLUS   | 99
17/02/06-23:10:09 | Phase 2 | < 1 , 8 > NI_MINUS   | 88
17/02/06-23:10:09 | Phase 2 | < 1 , 8 > h_plus   | 0.00497979797979797
17/02/06-23:10:09 | Phase 2 | < 1 , 8 > fraction   | 1.125
17/02/06-23:10:09 | Phase 2 | < 1 , 8 > h_minus   | 0.00560227272727272
17/02/06-23:10:10 | Phase 2 | < 1 , 8 > ACC[var,h]  | 0.819444444444444
17/02/06-23:10:10 | Phase 2 | < 1 , 8 > Zeros   | 0.0396977272727273, 0.0473117647058822, 0.0912022727272727
17/02/06-23:10:10 | Phase 2 | < 1 , 8 > Num zeros  | 3
17/02/06-23:10:10 | Phase 2 | < 1 , 9 > NI_PLUS   | 99
17/02/06-23:10:10 | Phase 2 | < 1 , 9 > NI_MINUS   | 88
17/02/06-23:10:10 | Phase 2 | < 1 , 9 > h_plus   | 0.00566262626262626
17/02/06-23:10:10 | Phase 2 | < 1 , 9 > fraction   | 1.125
17/02/06-23:10:10 | Phase 2 | < 1 , 9 > h_minus   | 0.00637045454545454
17/02/06-23:10:10 | Phase 2 | < 1 , 9 > ACC[var,h]  | 0.843434343434343
17/02/06-23:10:10 | Phase 2 | < 1 , 9 > Zeros   | 0.0473117647058824, 0.0547626262626262, 0.0919704545454545
17/02/06-23:10:10 | Phase 2 | < 1 , 9 > Num zeros  | 3
17/02/06-23:10:10 | Phase 2 | < 1 , 10 > NI_PLUS   | 99
17/02/06-23:10:10 | Phase 2 | < 1 , 10 > NI_MINUS   | 88
17/02/06-23:10:10 | Phase 2 | < 1 , 10 > h_plus   | 0.00634545454545454
17/02/06-23:10:10 | Phase 2 | < 1 , 10 > fraction   | 1.125
17/02/06-23:10:10 | Phase 2 | < 1 , 10 > h_minus   | 0.00713863636363636
17/02/06-23:10:10 | Phase 2 | < 1 , 10 > ACC[var,h]  | 0.789141414141414
17/02/06-23:10:10 | Phase 2 | < 1 , 10 > Zeros   | 0.0381613636363637, 0.0473117647058823, 0.0927386363636363
17/02/06-23:10:10 | Phase 2 | < 1 , 10 > Num zeros  | 3
17/02/06-23:10:10 | Phase 2 | < 1 , 10 > Best Policy           | 0.0381613636363637, 0.0473117647058823, 0.0927386363636363
17/02/06-23:10:10 | Phase 2 | < 1 , 10 > Best Policy (Metric)  | 0.789141414141414
17/02/06-23:10:10 | Phase 2 | < 1 , 10 > Best Policy (H +   )  | 0.00634545454545454
17/02/06-23:10:10 | Phase 2 | < 1 , 10 > Best Policy (H -   )  | 0.00713863636363636
17/02/06-23:10:10 | Phase 2 | < 1 , 11 > NI_PLUS   | 99
17/02/06-23:10:10 | Phase 2 | < 1 , 11 > NI_MINUS   | 88
17/02/06-23:10:10 | Phase 2 | < 1 , 11 > h_plus   | 0.00702828282828282
17/02/06-23:10:10 | Phase 2 | < 1 , 11 > fraction   | 1.125
17/02/06-23:10:10 | Phase 2 | < 1 , 11 > h_minus   | 0.00790681818181817
17/02/06-23:10:11 | Phase 2 | < 1 , 11 > ACC[var,h]  | 0.843434343434343
17/02/06-23:10:11 | Phase 2 | < 1 , 11 > Zeros   | 0.0473117647058823, 0.0935068181818181
17/02/06-23:10:11 | Phase 2 | < 1 , 11 > Num zeros  | 2
17/02/06-23:10:11 | Phase 2 | < 1 , 12 > NI_PLUS   | 99
17/02/06-23:10:11 | Phase 2 | < 1 , 12 > NI_MINUS   | 88
17/02/06-23:10:11 | Phase 2 | < 1 , 12 > h_plus   | 0.0077111111111111
17/02/06-23:10:11 | Phase 2 | < 1 , 12 > fraction   | 1.125
17/02/06-23:10:11 | Phase 2 | < 1 , 12 > h_minus   | 0.00867499999999999
17/02/06-23:10:11 | Phase 2 | < 1 , 12 > ACC[var,h]  | 0.803030303030303
17/02/06-23:10:11 | Phase 2 | < 1 , 12 > Zeros   | 0.036625, 0.0473117647058824, 0.0568111111111111, 0.0942749999999998, 0.123588888888889
17/02/06-23:10:11 | Phase 2 | < 1 , 12 > Num zeros  | 5
17/02/06-23:10:11 | Phase 2 | < 1 , 13 > NI_PLUS   | 99
17/02/06-23:10:11 | Phase 2 | < 1 , 13 > NI_MINUS   | 88
17/02/06-23:10:11 | Phase 2 | < 1 , 13 > h_plus   | 0.00839393939393939
17/02/06-23:10:11 | Phase 2 | < 1 , 13 > fraction   | 1.125
17/02/06-23:10:11 | Phase 2 | < 1 , 13 > h_minus   | 0.00944318181818181
17/02/06-23:10:11 | Phase 2 | < 1 , 13 > ACC[var,h]  | 0.843434343434343
17/02/06-23:10:11 | Phase 2 | < 1 , 13 > Zeros   | 0.0473117647058824, 0.0574939393939394
17/02/06-23:10:11 | Phase 2 | < 1 , 13 > Num zeros  | 2
17/02/06-23:10:11 | Phase 2 | < 1 , 14 > NI_PLUS   | 99
17/02/06-23:10:11 | Phase 2 | < 1 , 14 > NI_MINUS   | 88
17/02/06-23:10:11 | Phase 2 | < 1 , 14 > h_plus   | 0.00907676767676767
17/02/06-23:10:11 | Phase 2 | < 1 , 14 > fraction   | 1.125
17/02/06-23:10:11 | Phase 2 | < 1 , 14 > h_minus   | 0.0102113636363636
17/02/06-23:10:12 | Phase 2 | < 1 , 14 > ACC[var,h]  | 0.843434343434343
17/02/06-23:10:12 | Phase 2 | < 1 , 14 > Zeros   | 0.0473117647058824, 0.0958113636363636
17/02/06-23:10:12 | Phase 2 | < 1 , 14 > Num zeros  | 2
17/02/06-23:10:12 | Phase 2 | < 1 , 15 > NI_PLUS   | 99
17/02/06-23:10:12 | Phase 2 | < 1 , 15 > NI_MINUS   | 88
17/02/06-23:10:12 | Phase 2 | < 1 , 15 > h_plus   | 0.00975959595959595
17/02/06-23:10:12 | Phase 2 | < 1 , 15 > fraction   | 1.125
17/02/06-23:10:12 | Phase 2 | < 1 , 15 > h_minus   | 0.0109795454545454
17/02/06-23:10:12 | Phase 2 | < 1 , 15 > ACC[var,h]  | 0.843434343434343
17/02/06-23:10:12 | Phase 2 | < 1 , 15 > Zeros   | 0.0473117647058823, 0.058859595959596
17/02/06-23:10:12 | Phase 2 | < 1 , 15 > Num zeros  | 2
17/02/06-23:10:12 | Phase 2 | < 1 , 16 > NI_PLUS   | 99
17/02/06-23:10:12 | Phase 2 | < 1 , 16 > NI_MINUS   | 88
17/02/06-23:10:12 | Phase 2 | < 1 , 16 > h_plus   | 0.0104424242424242
17/02/06-23:10:12 | Phase 2 | < 1 , 16 > fraction   | 1.125
17/02/06-23:10:12 | Phase 2 | < 1 , 16 > h_minus   | 0.0117477272727273
17/02/06-23:10:13 | Phase 2 | < 1 , 16 > ACC[var,h]  | 0.843434343434343
17/02/06-23:10:13 | Phase 2 | < 1 , 16 > Zeros   | 0.0473117647058824, 0.0595424242424242, 0.0973477272727273
17/02/06-23:10:13 | Phase 2 | < 1 , 16 > Num zeros  | 3
17/02/06-23:10:13 | Phase 2 | < 1 , 17 > NI_PLUS   | 99
17/02/06-23:10:13 | Phase 2 | < 1 , 17 > NI_MINUS   | 88
17/02/06-23:10:13 | Phase 2 | < 1 , 17 > h_plus   | 0.0111252525252525
17/02/06-23:10:13 | Phase 2 | < 1 , 17 > fraction   | 1.125
17/02/06-23:10:13 | Phase 2 | < 1 , 17 > h_minus   | 0.0125159090909091
17/02/06-23:10:13 | Phase 2 | < 1 , 17 > ACC[var,h]  | 0.843434343434343
17/02/06-23:10:13 | Phase 2 | < 1 , 17 > Zeros   | 0.0473117647058822
17/02/06-23:10:13 | Phase 2 | < 1 , 17 > Num zeros  | 1
17/02/06-23:10:13 | Phase 2 | < 1 , 18 > NI_PLUS   | 99
17/02/06-23:10:13 | Phase 2 | < 1 , 18 > NI_MINUS   | 88
17/02/06-23:10:13 | Phase 2 | < 1 , 18 > h_plus   | 0.0118080808080808
17/02/06-23:10:13 | Phase 2 | < 1 , 18 > fraction   | 1.125
17/02/06-23:10:13 | Phase 2 | < 1 , 18 > h_minus   | 0.0132840909090909
17/02/06-23:10:14 | Phase 2 | < 1 , 18 > ACC[var,h]  | 0.843434343434343
17/02/06-23:10:14 | Phase 2 | < 1 , 18 > Zeros   | 0.0067159090909091, 0.0473117647058824, 0.119491919191919
